filename,row_count,sha256,generated_at
hcp_master.csv,2500,c41fe1c0569da5e39ec3cc94ad078059ccb34a7a54bed33715dfb19bdf8c354e,2026-08-19T06:49:28Z
events.csv,300,fa839cc0e4e1dcd349ad29a4f66a324a2d97927cd3f291ffe984c1a8798f461c,2026-08-19T06:49:28Z
event_invitations.csv,28331,c91d9390bd3397815e683e91b93990b10614f2f759ebf76ef232987407b79bbb,2026-08-19T06:49:28Z
event_attendance.csv,9926,c47d006271b2e2a3c23a79ea168fa233ef28710cf6deb2b5eaa8576e2458017c,2026-08-19T06:49:28Z
hcp_rx_monthly.csv,207596,b67e310ba48ec064794c0a3482a7b9dd5e1a0f6356354ee727931c19c0d47eb8,2026-08-19T06:49:28Z
marketing_activity.csv,80000,b1ef330c4b770be7f33ee3301bcb2709897d7813193f431415e8b14d2802e18a,2026-08-19T06:49:28Z
event_cost.csv,300,b2a81f9d7e6516eb57301537c2a8c7eefb603e7f4ae7d202e08121389389d841,2026-08-19T06:49:28Z
market_factors.csv,224,99edf450274e025df4082f5a185ca3fa3108e2d2462c356379103fc5080d0fa6,2026-08-19T06:49:28Z
identity_crosswalk.csv,2500,e067a45d5ce13e6c720db19d540ffa6745b3ffc75de3cfa76319ab92ac5535b8,2026-08-19T06:49:28Z
business_assumptions.csv,12,d9889f99dcf593f5160bb1a10f6066cf1d5ec66d52a5b8b285594d6cf6d46cf4,2026-08-19T06:49:28Z
ground_truth.csv,5033,1bdeac1eb2cf0eaa8ca3910973b7298a6b0cf23ba75806feabcce6ce4ee0bc52,2026-08-19T06:49:28Z
data_dictionary.csv,75,74f466fbfb4a56294068b73476f7978ef92a561d580a4a4fc5c9572b7ff64491,2026-08-19T06:49:28Z
data_quality_report.csv,120,8e532845d113f2191959e2c8e70385d24dd2e216de036f45e138ee8148440856,2026-08-19T06:49:28Z
