hcp_id,brand_id,month,nrx,trx
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-09,16,35
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-06,6,48
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-01,6,24
ee56a3f2-c876-4127-a0c1-324ba474368a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-06,13,63
039d2f04-c595-4bbb-93a9-04c7836e3fb1,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-08,29,71
8cee7c3d-0529-4dca-b7f3-8c21557b190a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-06,45,77
870dce2a-76c8-4765-b1da-21d6d3b34997,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-05,14,40
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-01,7,34
870dce2a-76c8-4765-b1da-21d6d3b34997,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-02,47,81
039d2f04-c595-4bbb-93a9-04c7836e3fb1,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-01,6,46
8cee7c3d-0529-4dca-b7f3-8c21557b190a,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-07,46,55
08105db3-1f70-4aad-b433-5a63c8e98b7d,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-10,6,25
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-09,30,75
870dce2a-76c8-4765-b1da-21d6d3b34997,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-12,23,41
8cee7c3d-0529-4dca-b7f3-8c21557b190a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-06,35,55
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2026-01,18,63
039d2f04-c595-4bbb-93a9-04c7836e3fb1,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-11,50,58
ee56a3f2-c876-4127-a0c1-324ba474368a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-11,26,48
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-11,14,60
0c0bb12f-39a8-4269-9026-2d4f4ef8ab71,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2026-03,10,31
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-06,35,56
5e535ede-b161-43a1-9a15-a1cf3a5c4bc7,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2026-01,24,43
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-03,49,57
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-06,44,76
5e535ede-b161-43a1-9a15-a1cf3a5c4bc7,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-01,25,68
0c0bb12f-39a8-4269-9026-2d4f4ef8ab71,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2026-06,1,49
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-11,8,31
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-03,1,22
039d2f04-c595-4bbb-93a9-04c7836e3fb1,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-05,7,52
8cee7c3d-0529-4dca-b7f3-8c21557b190a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-05,24,39
039d2f04-c595-4bbb-93a9-04c7836e3fb1,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-11,32,38
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-10,16,24
ee56a3f2-c876-4127-a0c1-324ba474368a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-03,47,83
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-05,43,78
039d2f04-c595-4bbb-93a9-04c7836e3fb1,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-09,34,77
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-06,49,98
ee56a3f2-c876-4127-a0c1-324ba474368a,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2026-01,43,89
870dce2a-76c8-4765-b1da-21d6d3b34997,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2026-05,29,41
ee56a3f2-c876-4127-a0c1-324ba474368a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-03,22,28
5e535ede-b161-43a1-9a15-a1cf3a5c4bc7,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-08,1,10
08105db3-1f70-4aad-b433-5a63c8e98b7d,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-03,3,29
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-09,43,79
ee56a3f2-c876-4127-a0c1-324ba474368a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-04,16,51
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-04,7,54
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2026-02,27,61
08105db3-1f70-4aad-b433-5a63c8e98b7d,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-02,26,52
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-07,13,52
0c0bb12f-39a8-4269-9026-2d4f4ef8ab71,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-02,12,34
0c0bb12f-39a8-4269-9026-2d4f4ef8ab71,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-03,29,69
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-06,1,11
ee56a3f2-c876-4127-a0c1-324ba474368a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-02,32,67
ee56a3f2-c876-4127-a0c1-324ba474368a,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-02,11,40
08105db3-1f70-4aad-b433-5a63c8e98b7d,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-09,30,53
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-05,13,36
ee56a3f2-c876-4127-a0c1-324ba474368a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-06,4,29
08105db3-1f70-4aad-b433-5a63c8e98b7d,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-04,33,71
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-05,6,22
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-08,26,38
5e535ede-b161-43a1-9a15-a1cf3a5c4bc7,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-02,40,50
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-09,14,61
870dce2a-76c8-4765-b1da-21d6d3b34997,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-09,26,39
8cee7c3d-0529-4dca-b7f3-8c21557b190a,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-11,49,58
08105db3-1f70-4aad-b433-5a63c8e98b7d,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-04,5,44
ee56a3f2-c876-4127-a0c1-324ba474368a,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-05,23,32
ee56a3f2-c876-4127-a0c1-324ba474368a,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-10,11,44
039d2f04-c595-4bbb-93a9-04c7836e3fb1,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2026-05,1,48
039d2f04-c595-4bbb-93a9-04c7836e3fb1,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-04,9,30
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2026-06,10,32
8cee7c3d-0529-4dca-b7f3-8c21557b190a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-11,14,62
8cee7c3d-0529-4dca-b7f3-8c21557b190a,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-09,4,14
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-02,1,27
8c3533ca-65dc-4959-9e2d-d9a501ef8c48,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-06,48,81
039d2f04-c595-4bbb-93a9-04c7836e3fb1,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2026-06,1,13
7644a1c5-14e8-4f8a-b7b7-0d809181c65c,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-06,3,31
5e535ede-b161-43a1-9a15-a1cf3a5c4bc7,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2026-02,9,16
